OID_,ชุมชน,รหัสเขต,รหัสไปรษณีย์,รหัสประเภทชุมชน,ละติจูด,ลองจิจูด,เขต,แขวง,ประเภทชุมชน
632,ชุมชนซอยนาคสถาพร 1,1023,102302,2,13.70474927,100.3730797,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
633,ชุมชนซอยต้นสน,1023,102302,2,13.70561966,100.3693586,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
645,ชุมชนสามัคคี 4-6,1023,102302,2,13.71902687,100.3494544,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
651,ชุมชนดวงเดือน,1023,102302,2,13.70791758,100.3476434,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
662,ชุมชนหมู่บ้านพัฒนาหมู่ 6,1021,102105,2,13.62431778,100.4701058,เขตบางขุนเทียน,แขวงท่าข้าม,ชุมชนชานเมือง
677,ชุมชนคลองพิทยาลงกรณ์,1021,102105,2,13.52490959,100.4214524,เขตบางขุนเทียน,แขวงท่าข้าม,ชุมชนชานเมือง
676,ชุมชนบางเพนียง,1021,102105,2,13.56327764,100.4445592,เขตบางขุนเทียน,แขวงท่าข้าม,ชุมชนชานเมือง
507,ชุมชนแผ่นดินทองอัลฮิดายะห์,1003,100303,2,13.8917241,100.8492593,เขตหนองจอก,แขวงคลองสิบ,ชุมชนชานเมือง
624,ชุมชนซอยหล่อพระ,1023,102302,2,13.70746092,100.3501558,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
1232,ชุมชนบางพรหมร่วมใจ,1048,104802,2,13.76906517,100.3687097,เขตทวีวัฒนา,แขวงศาลาธรรมสพน์,ชุมชนชานเมือง
1350,ชุมชนดารุสสลามสร้างสรรค์ หมู่ 9,1046,104602,2,13.9167086,100.7646019,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1351,ชุมชนเกาะขุนเณร หมู่ 12,1046,104605,2,13.86725128,100.7720999,เขตคลองสามวา,แขวงทรายกองดินใต้,ชุมชนชานเมือง
1352,ชุมชนหมู่ 14 พัฒนา,1046,104602,2,13.9046304,100.777482,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1371,ชุมชนบึงไผ่,1046,104604,2,13.84346227,100.7368067,เขตคลองสามวา,แขวงทรายกองดิน,ชุมชนชานเมือง
271,ชุมชนหมู่บ้านพัฒนา หมู่ 13 บางระมาด,1019,101905,2,13.77073848,100.4460366,เขตตลิ่งชัน,แขวงบางระมาด,ชุมชนชานเมือง
381,ชุมชนหมู่บ้านพัฒนาหมู่ 11 (คลองเจ็ก),1011,101104,2,13.74611563,100.8235539,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนชานเมือง
529,ชุมชนหมู่บ้านพัฒนาหมู่ 12-13,1003,100303,2,13.90677604,100.8319756,เขตหนองจอก,แขวงคลองสิบ,ชุมชนชานเมือง
565,ชุมชนนำไกร หมู่ 9 ทับยาว,1011,101105,2,13.72198349,100.7989607,เขตลาดกระบัง,แขวงทับยาว,ชุมชนชานเมือง
375,ชุมชนบึงบัว,1011,101104,2,13.76612605,100.7778083,เขตลาดกระบัง,แขวงลำปลาทิว,ชุมชนชานเมือง
617,ชุมชนชายแดน,1023,102302,2,13.73569275,100.3484955,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
618,ชุมชนซอยกำนันวิจิตร,1023,102302,2,13.72656064,100.3371805,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
639,ชุมชนจัดสรร 2,1023,102302,2,13.68376706,100.3468494,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
685,ชุมชนแสนตอ,1021,102105,2,13.52526131,100.4374284,เขตบางขุนเทียน,แขวงท่าข้าม,ชุมชนชานเมือง
1607,ชุมชนดารุ้ลอิบาดะฮ์,1049,104902,2,13.63279837,100.4790037,เขตทุ่งครุ,แขวงทุ่งครุ,ชุมชนชานเมือง
1624,ชุมชนเกาะใหญ่พัฒนา,1010,101002,2,13.82923432,100.7773799,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง
1329,ชุมชนหลอแหลคลองใหญ่,1044,104401,2,13.79444834,100.7004034,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง
1330,ชุมชนร่มรื่น หมู่10,1046,104601,2,13.90808223,100.6937446,เขตคลองสามวา,แขวงสามวาตะวันตก,ชุมชนชานเมือง
